"year","id","trauma","emslevel","stations","diverthours","admitrate","region","time"
2014,106560508,"0/Level III","Standby/Basic",14,170,0.0980488898856246,"Central Coast",2
2015,106560508,"0/Level III","Standby/Basic",14,81,0.117083488864004,"Central Coast",3
2013,106560521,"0/Level III","Standby/Basic",9,2,0.0739040475882581,"Central Coast",1
2014,106560521,"0/Level III","Standby/Basic",9,24,0.0697307055814653,"Central Coast",2
2015,106560521,"0/Level III","Standby/Basic",9,70,0.0888976950003302,"Central Coast",3
2013,106560525,"0/Level III","Standby/Basic",10,10,0.155743898032259,"Central Coast",1
2014,106560525,"0/Level III","Standby/Basic",10,191,0.156842862750229,"Central Coast",2
2015,106560525,"0/Level III","Standby/Basic",10,274,0.169873049605727,"Central Coast",3
2013,106560529,"0/Level III","Standby/Basic",20,179,0.112657739123367,"Central Coast",1
2014,106560529,"0/Level III","Standby/Basic",20,302,0.0982996712071395,"Central Coast",2
2015,106560529,"0/Level III","Standby/Basic",20,254,0.113800196762365,"Central Coast",3
